iter	RMSE
0	14.34879099
1	14.00602453
2	13.66722879
3	13.30995386
4	12.97743045
5	12.66524122
6	12.36139443
7	12.1015901
8	11.81910922
9	11.5339425
10	11.2524955
11	11.00079822
12	10.76941144
13	10.52869652
14	10.3031478
15	10.06989257
16	9.847188871
17	9.669667932
18	9.470885581
19	9.289927535
20	9.133416165
21	8.970390362
22	8.821826771
23	8.666051086
24	8.512170953
25	8.372181186
26	8.243994876
27	8.130860601
28	7.998792653
29	7.885684112
30	7.78166514
31	7.681146113
32	7.573808587
33	7.47693781
34	7.372553254
35	7.277716157
36	7.187299879
37	7.109665278
38	7.032095813
39	6.954882674
40	6.884801976
41	6.810278023
42	6.738698596
43	6.670064251
44	6.606524151
45	6.559045113
46	6.496762861
47	6.437198056
48	6.381359237
49	6.330433188
50	6.277428773
51	6.232688369
52	6.188410658
53	6.143328484
54	6.102936511
55	6.062333389
56	6.029890725
57	5.99625564
58	5.957643956
59	5.928829212
60	5.896643496
61	5.866881523
62	5.835951848
63	5.80556795
64	5.775025161
65	5.745466571
66	5.719193012
67	5.69109851
68	5.671857992
69	5.649005274
70	5.627636532
71	5.607700596
72	5.589987974
73	5.569799837
74	5.549927521
75	5.533309677
76	5.520345172
77	5.50405485
78	5.488493492
79	5.469272882
80	5.461060924
81	5.444531377
82	5.43036014
83	5.417688097
84	5.411010424
85	5.396831226
86	5.391947996
87	5.380602896
88	5.367596052
89	5.356607106
90	5.345557227
91	5.333815205
92	5.328546409
93	5.321397932
94	5.311412089
95	5.300683296
96	5.290839211
97	5.281277486
98	5.271253057
99	5.261277721
100	5.252264166
101	5.242306479
102	5.236140948
103	5.22774178
104	5.217333629
105	5.204376126
106	5.195760918
107	5.184103
108	5.174723025
109	5.164269523
110	5.158885065
111	5.151080424
112	5.141228757
113	5.136197579
114	5.13006307
115	5.123091394
116	5.114895561
117	5.106544406
118	5.10010705
119	5.094062022
120	5.086168234
121	5.075483684
122	5.067212394
123	5.061398644
124	5.05869362
125	5.054685738
126	5.04683299
127	5.040455445
128	5.03560559
129	5.03016089
130	5.024808679
131	5.020464697
132	5.015165384
133	5.009788322
134	5.003155332
135	4.998741479
136	4.992022604
137	4.985861492
