iter	RMSE
138	4.97913211
139	4.974075659
140	4.969682746
141	4.966732711
142	4.962065666
143	4.955391004
144	4.950601961
145	4.948862559
146	4.946766893
147	4.942146369
148	4.93741215
149	4.931393245
150	4.925055778
151	4.921762203
152	4.914002401
153	4.910809613
154	4.906840225
155	4.899519443
156	4.897267171
157	4.890452758
158	4.882520237
159	4.881656053
160	4.880450949
161	4.873155452
162	4.870091559
163	4.869396748
164	4.864022597
165	4.859228021
166	4.855504583
167	4.852208462
168	4.84742221
169	4.840892719
170	4.838691157
171	4.835719828
172	4.833095515
173	4.829456855
174	4.824598316
175	4.818777917
176	4.811256164
177	4.806701848
178	4.803615956
179	4.800309048
180	4.796157361
181	4.790576905
182	4.788310577
183	4.78461988
184	4.782823727
185	4.780001112
186	4.774472415
187	4.771814645
188	4.767432091
189	4.761235828
190	4.757847897
191	4.753370157
192	4.74792898
193	4.74561624
194	4.740709736
195	4.736161086
196	4.733329064
197	4.726980766
198	4.722262456
199	4.720225067
200	4.714491197
201	4.70953837
202	4.705936609
203	4.7010319
204	4.696602467
205	4.690206114
206	4.685360311
207	4.684010653
208	4.679267085
209	4.674093793
210	4.669822657
211	4.667339566
212	4.663111254
213	4.658031811
214	4.653065085
215	4.649189817
216	4.646408524
217	4.64405316
218	4.640520891
219	4.637142105
220	4.636329875
221	4.632384273
222	4.629633671
223	4.626420696
224	4.623288998
225	4.617289299
226	4.615114827
227	4.612101671
228	4.606652997
229	4.60287297
230	4.59772372
231	4.595634642
232	4.590043083
233	4.586595196
234	4.583032695
235	4.580621034
236	4.577228045
237	4.570583049
238	4.56648186
239	4.561668051
240	4.558370458
241	4.554087266
242	4.551628327
243	4.549373122
244	4.547153774
245	4.545362236
246	4.542583058
247	4.539964576
248	4.536658381
249	4.529500249
250	4.524891738
251	4.520195745
252	4.51598227
253	4.512164228
254	4.508958649
255	4.5048517
256	4.503838197
257	4.502327021
258	4.496012173
259	4.494553826
260	4.493574288
261	4.489538118
262	4.486201056
263	4.485250004
264	4.480710245
265	4.478672709
266	4.475210442
267	4.470244016
268	4.469429079
269	4.465171677
270	4.461613916
271	4.456693576
272	4.451015068
273	4.448056121
274	4.447675753
275	4.443172042
276	4.440279637
277	4.438024517
278	4.435088266
279	4.433666011
280	4.428921904
281	4.427386217
282	4.423662771
283	4.420167792
284	4.416223651
285	4.414232866
286	4.4079301
287	4.404256456
288	4.400126191
289	4.399770796
290	4.397446907
291	4.393685238
292	4.391151983
293	4.387100595
294	4.384009539
295	4.383671231
296	4.379355138
297	4.373133354
298	4.367497212
299	4.362081292
300	4.359335572
301	4.354717834
302	4.352047526
303	4.350032205
304	4.349696517
305	4.346790078
306	4.342287475
307	4.339884678
308	4.336335234
309	4.336003787
310	4.333590473
311	4.32800547
312	4.327690279
313	4.323233551
314	4.318946383
315	4.317365041
316	4.313404041
317	4.310377091
318	4.310065972
319	4.306053622
320	4.302535958
321	4.298298822
322	4.294228656
323	4.289808195
324	4.289499262
325	4.289173917
326	4.28598633
327	4.280068547
328	4.27981192
329	4.275863007
330	4.274614468
331	4.269951828
332	4.264973201
333	4.262561802
334	4.258417573
335	4.254083305
336	4.250285062
337	4.249091624
338	4.244871299
339	4.242831254
340	4.240410484
341	4.236265926
342	4.233377258
343	4.230624108
344	4.224763185
345	4.222801606
346	4.219762844
347	4.21541108
348	4.215132745
349	4.212333898
350	4.209086788
351	4.205273025
352	4.203321486
353	4.198756648
354	4.19461098
355	4.192404985
356	4.188629568
357	4.185910464
358	4.18398942
359	4.183713786
360	4.18104524
361	4.175834131
362	4.175086975
363	4.171922052
364	4.170184435
365	4.165083142
366	4.160001865
367	4.157446454
368	4.152814092
369	4.150166949
370	4.14790669
371	4.144456973
372	4.142889608
373	4.141140446
374	4.13729543
375	4.137131384
376	4.133844767
377	4.131060672
378	4.127690356
379	4.122717975
380	4.115473499
381	4.111155499
382	4.109557496
383	4.104644434
384	4.103088029
385	4.099581217
386	4.097158304
387	4.094674295
388	4.092674574
389	4.090186578
390	4.088317819
391	4.083998558
392	4.081419515
393	4.078997132
394	4.078849339
395	4.076242671
396	4.074133725
397	4.072598571
398	4.069844649
399	4.065941102
400	4.062445012
401	4.060081914
402	4.0598324
403	4.05835492
404	4.055843109
405	4.05424047
406	4.050629305
407	4.04570235
408	4.041759091
409	4.039978668
410	4.035888225
411	4.032511596
412	4.028989473
413	4.025547374
414	4.019273384
415	4.017458143
416	4.01538309
417	4.01151753
418	4.008380235
419	4.005628627
420	4.003596509
421	4.00335054
422	4.000356127
423	3.998696809
424	3.997270224
425	3.997032309
426	3.996448002
427	3.994764114
428	3.994051987
429	3.992328928
430	3.988564736
431	3.984921151
432	3.982420789
433	3.980995908
434	3.977742398
435	3.974551691
436	3.971562889
437	3.969413384
438	3.965546275
439	3.961860914
440	3.96162833
441	3.95851905
442	3.95630507
443	3.953233197
444	3.949950946
445	3.946190918
446	3.945181672
447	3.942563755
448	3.938562317
449	3.934294731
450	3.931333319
451	3.929529428
452	3.929307188
453	3.926619072
454	3.92278801
455	3.91898632
456	3.917653734
457	3.916421474
458	3.912814314
459	3.910401413
460	3.908512479
461	3.905337314
462	3.904125958
463	3.90392255
464	3.903161556
465	3.900472265
466	3.897113341
467	3.895751187
468	3.893191463
469	3.892987501
470	3.888207331
471	3.888078671
472	3.884624778
473	3.880876843
474	3.877344546
475	3.87724122
476	3.872729307
477	3.871935027
478	3.871202188
479	3.866076699
480	3.864901129
481	3.861857438
482	3.8616589
483	3.859097895
484	3.855525199
485	3.852185332
486	3.849714791
487	3.848621712
488	3.844123988
489	3.843935737
490	3.842126422
491	3.842017674
492	3.84077287
493	3.840585602
494	3.840402548
495	3.836909747
496	3.83673246
497	3.834997294
498	3.831921301
499	3.829230912
500	3.826400948
501	3.822613916
502	3.820184185
503	3.817876796
504	3.815976909
505	3.813896477
506	3.812402225
507	3.808429405
508	3.804438207
509	3.80165744
510	3.801569049
511	3.800855745
512	3.797532896
513	3.796179599
514	3.794826256
515	3.792625129
516	3.788220002
517	3.784429311
518	3.781883357
519	3.779128986
520	3.776689821
521	3.776518453
522	3.775951332
523	3.772060904
524	3.770405073
525	3.769020315
526	3.766250221
527	3.766087209
528	3.764231984
529	3.760408604
530	3.758067464
531	3.752938235
532	3.752850428
533	3.752284545
534	3.748988403
535	3.745319383
536	3.74272979
537	3.738983609
538	3.735911279
539	3.73454281
540	3.731704715
541	3.727329881
542	3.727244467
543	3.726289593
544	3.724732039
545	3.724586644
546	3.724057529
547	3.722655214
548	3.721123761
549	3.718963047
550	3.716398228
551	3.715434971
552	3.712134833
553	3.707548684
554	3.704548874
555	3.702937482
556	3.700000143
557	3.699846052
558	3.69695991
559	3.694061506
560	3.693911595
561	3.689824591
562	3.687004349
563	3.684523416
564	3.682596201
565	3.680270627
566	3.678510216
567	3.677856823
568	3.677212324
569	3.674809526
570	3.672577246
571	3.672059692
572	3.670097753
573	3.666399571
574	3.663655971
575	3.659168213
576	3.656401638
577	3.652416363
578	3.652343244
579	3.651171076
580	3.649353768
581	3.647802186
582	3.646669575
583	3.644850506
584	3.643835807
585	3.642263184
586	3.642144046
587	3.639266103
588	3.637844237
589	3.635344961
590	3.63259981
591	3.630300097
592	3.627150143
593	3.623368366
594	3.62259935
595	3.620164307
596	3.61633836
597	3.612863031
598	3.608032859
599	3.606627131
600	3.606538082
601	3.605234151
602	3.60484675
603	3.602058051
604	3.600078366
605	3.59803849
606	3.595164039
607	3.592744587
608	3.591086042
609	3.590040452
610	3.58997687
611	3.586203268
612	3.584698576
613	3.584571037
614	3.583762911
615	3.580969243
616	3.580165769
617	3.578660713
618	3.577255218
619	3.575155831
620	3.572962154
621	3.568822087
622	3.568330154
623	3.566356756
624	3.563826063
625	3.561010849
626	3.559673934
627	3.55676094
628	3.556699427
629	3.554372573
630	3.551033594
631	3.547976281
632	3.544337423
633	3.542471993
634	3.540778953
635	3.539555577
636	3.539424739
637	3.538056964
638	3.536741145
639	3.533524887
640	3.531532173
641	3.528742615
642	3.526564086
643	3.525676627
644	3.524125764
645	3.522417608
646	3.519809438
647	3.518610494
648	3.514825027
649	3.514283527
650	3.514100565
651	3.513775749
652	3.511379494
653	3.509369592
654	3.506331552
655	3.504101141
656	3.503074463
657	3.502993023
658	3.501989208
659	3.500324935
660	3.498061082
661	3.497973376
662	3.495865276
663	3.495520759
664	3.493717442
665	3.492105896
666	3.488004868
667	3.485495478
668	3.483899763
669	3.483843542
670	3.481601588
671	3.479949139
672	3.477741645
673	3.475117507
674	3.473446324
675	3.471763669
676	3.467407165
677	3.464861329
678	3.46437923
679	3.463759241
680	3.460183619
681	3.458268667
682	3.454606117
683	3.453387395
684	3.453332878
685	3.452859322
686	3.452435719
687	3.44958782
688	3.448289823
689	3.447607296
690	3.445180186
691	3.445117901
692	3.443274823
693	3.441966176
694	3.441915216
695	3.439006007
696	3.436327025
697	3.436188826
698	3.434880138
699	3.43270096
700	3.430051577
701	3.428769163
702	3.427531019
703	3.425703466
704	3.425651459
705	3.424495635
706	3.423152548
707	3.423102619
708	3.4219299
709	3.4214963
710	3.41946215
711	3.418012645
712	3.416778945
713	3.415869235
714	3.414276312
715	3.411795538
716	3.407951657
717	3.406925538
718	3.405435108
719	3.404831268
720	3.402613489
721	3.402355577
722	3.400176145
723	3.3994214
724	3.397442792
725	3.396612034
726	3.394687387
727	3.392647799
728	3.390949443
729	3.388548299
730	3.387564321
731	3.384619634
732	3.384546442
733	3.384159755
734	3.382575438
735	3.380755404
736	3.378360983
737	3.377034788
738	3.373335699
739	3.37138787
740	3.370884562
741	3.36806363
742	3.366381082
743	3.366345931
744	3.363750945
745	3.36282093
746	3.361617007
747	3.361507918
748	3.359364033
749	3.356947682
750	3.35581089
751	3.354150662
752	3.352329008
753	3.350945695
754	3.349545769
755	3.347480487
756	3.346395423
757	3.346064296
758	3.343523268
759	3.341803012
760	3.33982237
761	3.338026946
762	3.336338826
763	3.334291635
764	3.331306937
765	3.329638526
766	3.328499439
767	3.328247301
768	3.3281921
769	3.3255877
770	3.324782903
771	3.322953033
772	3.320443814
773	3.317917601
774	3.317855012
775	3.31570934
776	3.315620795
777	3.311472804
778	3.309306772
779	3.307366184
780	3.305455939
781	3.304652233
782	3.303012559
783	3.300271305
784	3.298882044
785	3.296504602
786	3.294610032
787	3.29229614
788	3.292209191
789	3.291335489
790	3.290201858
791	3.290158223
792	3.288311087
793	3.287697742
794	3.285537894
795	3.283693729
796	3.281295982
797	3.281000078
798	3.280956549
799	3.277635996
800	3.277507342
801	3.275036633
802	3.273999766
803	3.273119848
804	3.273039297
805	3.270170425
806	3.268428113
807	3.267332887
808	3.265125577
809	3.26480294
810	3.262863453
811	3.262178973
812	3.258101754
813	3.258073845
814	3.254914657
815	3.25470728
816	3.254020823
817	3.250403614
818	3.247603093
819	3.245482912
820	3.244578192
821	3.244259073
822	3.243416975
823	3.241954033
824	3.241916935
825	3.240579159
826	3.239877226
827	3.238591321
828	3.237024775
829	3.236374639
830	3.235475758
831	3.234991195
832	3.234064599
833	3.231513072
834	3.228279647
835	3.227865179
836	3.227625244
837	3.226759657
838	3.224516615
839	3.221215315
840	3.219925236
841	3.217059273
842	3.215344735
843	3.214747574
844	3.212378208
845	3.211161849
846	3.208175088
847	3.207315919
848	3.205566436
849	3.20527104
850	3.203907841
851	3.202948636
852	3.199785524
853	3.197834972
854	3.196229155
855	3.196028439
856	3.19439919
857	3.194327076
858	3.193098318
859	3.193067943
860	3.191464572
861	3.189405252
862	3.187881924
863	3.187254625
864	3.185935056
865	3.184728327
866	3.184528659
867	3.183961958
868	3.18391961
869	3.182174009
870	3.180748687
871	3.179966653
872	3.178015738
873	3.17683815
874	3.175502785
875	3.173300894
876	3.172813905
877	3.171387842
878	3.169565257
879	3.169536018
880	3.169507541
881	3.169143328
882	3.168031961
883	3.166920781
884	3.165804793
885	3.163526892
886	3.16152376
887	3.160492621
888	3.160000804
889	3.159121272
890	3.157486376
891	3.156027612
892	3.155917743
893	3.155063631
894	3.153138142
895	3.151443671
896	3.150061892
897	3.148281981
898	3.148220622
899	3.147649397
900	3.145332005
901	3.141291519
902	3.139686681
903	3.138984293
904	3.137981121
905	3.136403532
906	3.133065856
907	3.132186152
908	3.132065031
909	3.131138361
910	3.128646498
911	3.127982304
912	3.127435831
913	3.12567352
914	3.124092578
915	3.123882657
916	3.122880104
917	3.120840833
918	3.117585537
919	3.114464449
920	3.11293503
921	3.110860897
922	3.110584304
923	3.109996552
924	3.108463758
925	3.107345119
926	3.105775295
927	3.105698618
928	3.103839258
929	3.100768658
930	3.099645566
931	3.099010585
932	3.09898619
933	3.09854759
934	3.096490631
935	3.095394774
936	3.092283372
937	3.090871132
938	3.090012754
939	3.088475285
940	3.088033127
941	3.086843205
942	3.086716315
943	3.085997869
944	3.085869807
945	3.085847391
946	3.083070312
947	3.082996811
948	3.082308134
949	3.081700702
950	3.079967518
951	3.079411511
952	3.078168516
953	3.078138703
954	3.077012877
955	3.075545343
956	3.073531891
957	3.071725168
958	3.070762152
959	3.069987943
960	3.069643946
961	3.068321807
962	3.068079367
963	3.066163189
964	3.064120556
965	3.062504351
966	3.05993241
967	3.056531249
968	3.05481374
969	3.05436993
970	3.053580243
971	3.05207336
972	3.050373058
973	3.049935505
974	3.049498602
975	3.047802442
976	3.046110593
977	3.044930748
978	3.04444466
979	3.04356131
980	3.040963393
981	3.039967441
982	3.038029001
983	3.035189946
984	3.033071395
985	3.032745689
986	3.030990683
987	3.029525638
988	3.02788215
989	3.026919696
990	3.025706032
991	3.024769156
992	3.024100559
993	3.022892681
994	3.022013024
995	3.020079636
996	3.019313117
997	3.019224635
998	3.018651047
999	3.015740192
